BestBid,BestAsk,Spread,Depth
2025-11-11 18:50:29.207134,99.1187,99.1197,0.000967108,634
2025-11-11 18:50:29.209386,99.1187,99.1187,1.37143e-05,1035
2025-11-11 18:50:29.211617,99.1187,99.1197,0.000967108,1302
2025-11-11 18:50:29.213912,99.1187,99.1197,0.000967108,1099
2025-11-11 18:50:29.216416,99.1187,99.1197,0.000967108,1037
2025-11-11 18:50:29.218727,99.1187,99.1197,0.000967108,980
2025-11-11 18:50:29.221013,99.1197,99.1199,0.000174366,1483
2025-11-11 18:50:29.223726,99.1192,99.1197,0.000464366,1092
2025-11-11 18:50:29.226292,99.1187,99.1192,0.000502742,1406
2025-11-11 18:50:29.228532,99.1187,99.1192,0.000502742,1099
2025-11-11 18:50:29.231325,99.1192,99.1197,0.000464366,1535
2025-11-11 18:50:29.233540,99.1192,99.1197,0.000464366,1364
2025-11-11 18:50:29.235846,99.1192,99.1197,0.000464366,1309
2025-11-11 18:50:29.238760,99.1192,99.1197,0.000464366,1254
2025-11-11 18:50:29.241166,99.1197,99.1199,0.000174366,1323
2025-11-11 18:50:29.243798,99.1199,99.12,0.000139174,1310
2025-11-11 18:50:29.247385,99.12,99.12,3.81235e-05,1289
2025-11-11 18:50:29.249917,99.12,99.1206,0.000569509,721
2025-11-11 18:50:29.252514,99.1206,99.1207,0.000151178,932
2025-11-11 18:50:29.254948,99.1206,99.1207,0.000151178,719
2025-11-11 18:50:29.257276,99.1207,99.121,0.000262336,690
2025-11-11 18:50:29.259557,99.1206,99.1207,0.000151178,1114
2025-11-11 18:50:29.261887,99.1206,99.1207,0.000151178,1067
2025-11-11 18:50:29.264232,99.1206,99.1207,0.000151178,830
2025-11-11 18:50:29.266387,99.1207,99.121,0.000262336,804
2025-11-11 18:50:29.268780,99.1206,99.1207,0.000151178,747
2025-11-11 18:50:29.271928,99.1203,99.1206,0.000298613,1088
2025-11-11 18:50:29.274147,99.12,99.1203,0.000270896,1670
2025-11-11 18:50:29.276358,99.12,99.1203,0.000270896,1350
2025-11-11 18:50:29.278539,99.12,99.1203,0.000270896,1272
2025-11-11 18:50:29.280918,99.12,99.1203,0.000270896,1062
2025-11-11 18:50:29.283307,99.1203,99.1206,0.000298613,891
2025-11-11 18:50:29.285493,99.12,99.1203,0.000270896,1051
2025-11-11 18:50:29.287795,99.1203,99.1206,0.000298613,810
2025-11-11 18:50:29.290116,99.12,99.1203,0.000270896,1090
2025-11-11 18:50:29.292544,99.12,99.12,3.81235e-05,1058
2025-11-11 18:50:29.294775,99.1199,99.12,0.000101051,2324
2025-11-11 18:50:29.297170,99.1199,99.12,0.000101051,2261
2025-11-11 18:50:29.299418,99.1199,99.12,0.000101051,2190
2025-11-11 18:50:29.301619,99.1199,99.12,0.000101051,2109
2025-11-11 18:50:29.304344,99.1198,99.1199,4.92546e-05,2267
2025-11-11 18:50:29.306624,99.1197,99.1198,0.000125111,2074
2025-11-11 18:50:29.308874,99.1192,99.1197,0.000464366,2117
2025-11-11 18:50:29.311122,99.1192,99.1197,0.000464366,2112
2025-11-11 18:50:29.313436,99.1192,99.1197,0.000464366,2051
2025-11-11 18:50:29.316119,99.1192,99.1197,0.000464366,1984
2025-11-11 18:50:29.318418,99.1192,99.1192,4.64967e-05,1960
2025-11-11 18:50:29.321170,99.1192,99.1192,4.64967e-05,1955
2025-11-11 18:50:29.323390,99.1192,99.1192,4.64967e-05,1797
2025-11-11 18:50:29.325732,99.1192,99.1197,0.000464366,2190
2025-11-11 18:50:29.327902,99.1192,99.1197,0.000464366,2095
2025-11-11 18:50:29.330457,99.1197,99.1198,0.000125111,2140
2025-11-11 18:50:29.332889,99.1192,99.1197,0.000464366,2000
2025-11-11 18:50:29.335075,99.1192,99.1192,4.64967e-05,2017
2025-11-11 18:50:29.337765,99.1189,99.1192,0.000234181,1684
2025-11-11 18:50:29.340148,99.1187,99.1189,0.000222065,1683
2025-11-11 18:50:29.342499,99.1187,99.1189,0.000222065,1292
2025-11-11 18:50:29.344749,99.1187,99.1187,1.37143e-05,911
2025-11-11 18:50:29.347182,99.1187,99.1189,0.000222065,1412
2025-11-11 18:50:29.349924,99.1187,99.1189,0.000222065,1263
2025-11-11 18:50:29.352231,99.1189,99.1192,0.000234181,1417
2025-11-11 18:50:29.354649,99.1189,99.1192,0.000234181,1400
2025-11-11 18:50:29.356884,99.1189,99.1192,0.000234181,1283
2025-11-11 18:50:29.359207,99.1192,99.1192,4.64967e-05,1948
2025-11-11 18:50:29.361583,99.1192,99.1192,4.64967e-05,1903
2025-11-11 18:50:29.364088,99.1192,99.1192,4.64967e-05,1730
2025-11-11 18:50:29.366552,99.1192,99.1192,4.64967e-05,1691
2025-11-11 18:50:29.368792,99.119,99.1192,0.000140385,1296
2025-11-11 18:50:29.371856,99.1192,99.1192,4.64967e-05,1978
2025-11-11 18:50:29.374130,99.1192,99.1197,0.000464366,2072
2025-11-11 18:50:29.376404,99.1192,99.1192,4.64967e-05,2179
2025-11-11 18:50:29.378634,99.1192,99.1192,4.64967e-05,2162
2025-11-11 18:50:29.381280,99.1192,99.1192,4.64967e-05,1875
2025-11-11 18:50:29.383635,99.1192,99.1192,4.64967e-05,1873
2025-11-11 18:50:29.385884,99.119,99.1192,0.000140385,1635
2025-11-11 18:50:29.388327,99.119,99.1192,0.000140385,1633
2025-11-11 18:50:29.390687,99.119,99.1192,0.000140385,1467
2025-11-11 18:50:29.393121,99.1189,99.119,9.37954e-05,1329
2025-11-11 18:50:29.395636,99.119,99.1192,0.000140385,1620
2025-11-11 18:50:29.397892,99.1192,99.1192,4.64967e-05,2128
2025-11-11 18:50:29.400068,99.1192,99.1192,4.64967e-05,1915
2025-11-11 18:50:29.402412,99.119,99.1192,0.000140385,1335
2025-11-11 18:50:29.405340,99.1189,99.119,9.37954e-05,1054
2025-11-11 18:50:29.407639,99.1189,99.119,9.37954e-05,819
2025-11-11 18:50:29.409923,99.119,99.1192,0.000140385,955
2025-11-11 18:50:29.412396,99.1189,99.119,9.37954e-05,1177
2025-11-11 18:50:29.415199,99.1187,99.1189,0.000222065,1429
2025-11-11 18:50:29.417534,99.1187,99.1189,0.000222065,1180
2025-11-11 18:50:29.420090,99.1187,99.1187,1.37143e-05,1312
2025-11-11 18:50:29.422793,99.1187,99.1187,2.45172e-05,1242
2025-11-11 18:50:29.425055,99.1187,99.1187,2.45172e-05,1184
2025-11-11 18:50:29.427389,99.1184,99.1187,0.000234197,1313
2025-11-11 18:50:29.429828,99.1187,99.1187,2.45172e-05,1202
